B_string_raw,B_string,string_similarity,Best_A_strings_raw,Best_A_strings,Best_A_Brand,Best_A_Type,Best_A_Formula,,
Top Ziank,topziank,25.00%,Borat,borat,Mahkota,Mikro,NA,8,
KNO3 Merah 1kg,kno3merah1kg,25.00%,Nitralite,nitralite,PIHC,Nitrogen,NA,12,
MKP Cair 400ml,mkpcair400ml,25.00%,ZK Petro,zkpetro,PIHC,ZK,NA,12,
Lanat 25wp 100gram,lanat25wp100gram,25.00%,Pelangi 20-10-18,pelangi201018,PIHC,Majemuk,20-10-18,16,
Matador @250 ml,matador250ml,25.00%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,12,
MPHP,mphp,25.00%,KSP,ksp,Tawon,Fosfat,NA,4,
carbio top.250,carbiotop250,25.00%,MerokeTSP,meroketsp,Mutiara,Fosfat,NA,12,
score.250,score250,25.00%,Borat,borat,Mahkota,Mikro,NA,8,
Inpari 02,inpari02,25.00%,Urea PIM,ureapim,PIHC,Urea,NA,8,
verimex 100ml,verimex100ml,25.00%,Urea PIM,ureapim,PIHC,Urea,NA,12,
cuka joss,cukajoss,25.00%,Urecote,urecote,Pak Tani,Urea,NA,8,
ZA NS 50  Kg,zans50kg,25.00%,ZA Petro,zapetro,PIHC,ZA,NA,8,
ZK NS 50 Kg,zkns50kg,25.00%,ZK Petro,zkpetro,PIHC,ZK,NA,8,
Timun Yupiter 20gr,timunyupiter20gr,25.00%,Urea Petro,ureapetro,PIHC,Urea,NA,16,
MAYA,maya,25.00%,Vrea,vrea,Tawon,Urea,NA,4,
grandly herbisida,grandlyherbisida,25.00%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,16,
Alufos tablet,alufostablet,25.00%,Phosgreen,phosgreen,PIHC,Fosfat,NA,12,
vayego 100 mil,vayego100mil,25.00%,MerokeMOP,merokemop,Mutiara,Kalium,NA,12,
Provit Jijau 100 Ml,provitjijau100ml,25.00%,Pelangi 20-10-18,pelangi201018,PIHC,Majemuk,20-10-18,16,
leili 900,leili900,25.00%,Mesti-ZA,mestiza,LaoYing,ZA,NA,8,
gandrung,gandrung,25.00%,RP Peru,rpperu,Mahkota,Fosfat,NA,8,
Benih Padi Ciherang cap Jago,benihpadiciherangcapjago,25.00%,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27,24,
prima up 480 sl,primaup480sl,25.00%,Urea Petro,ureapetro,PIHC,Urea,NA,12,
starlon 665 ec,starlon665ec,25.00%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,12,
besi 10in,besi10in,25.00%,Mesti-ZA,mestiza,LaoYing,ZA,NA,8,
GRC,grc,25.00%,Vrea,vrea,Tawon,Urea,NA,3,
"Neoban Plus 540/60 EC, UK.250 ml",neobanplus54060ecuk250ml,25.00%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,24,
"Neoban plus 540/60 EC ,UK 400 ml",neobanplus54060ecuk400ml,25.00%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,24,
sepeda mini 26,sepedamini26,25.00%,Urea PIM,ureapim,PIHC,Urea,NA,12,
Mina 88 1L,mina881l,25.00%,Mestical,mestical,LaoYing,Nitrogen,NA,8,
Regent Putih 250 ml,regentputih250ml,25.00%,Urea PIM,ureapim,PIHC,Urea,NA,16,
Regent Putih 500 ml,regentputih500ml,25.00%,Urea PIM,ureapim,PIHC,Urea,NA,16,
Biophon 250 ml,biophon250ml,25.00%,Phosgreen,phosgreen,PIHC,Fosfat,NA,12,
Ben up 1L,benup1l,25.00%,Urea PIM,ureapim,PIHC,Urea,NA,7,
Cangkul Garuk,cangkulgaruk,25.00%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,12,
Garpu Kw,garpukw,25.00%,ZA Petro,zapetro,PIHC,ZA,NA,7,
Cruiser 12.5 ml,cruiser125ml,25.00%,Urea PIM,ureapim,PIHC,Urea,NA,12,
gramoxone250,gramoxone250,25.00%,MerokeZA,merokeza,Mutiara,ZA,NA,12,
Virtako ( 100 ml ),virtako100ml,25.00%,Urea PIM,ureapim,PIHC,Urea,NA,12,
virtako ( 250 ml ),virtako250ml,25.00%,Urea PIM,ureapim,PIHC,Urea,NA,12,
Sidamethrin ( 400 ml ),sidamethrin400ml,25.00%,Urea Petro,ureapetro,PIHC,Urea,NA,16,
Demolish ( 50 ml ),demolish50ml,25.00%,Fertiphos,fertiphos,Pak Tani,Fosfat,NA,12,
Sampurna Daun,sampurnadaun,25.00%,Urea PIM,ureapim,PIHC,Urea,NA,12,
pompa gambino,pompagambino,25.00%,Phosgreen,phosgreen,PIHC,Fosfat,NA,12,
Accu cba,accucba,25.00%,YaraVera,yaravera,Yara,Urea,NA,7,
32 jumbo,32jumbo,25.00%,ZA Petro,zapetro,PIHC,ZA,NA,7,
Teballo 250SC,teballo250sc,25.00%,Petro-CAS,petrocas,PIHC,Mikro,NA,12,
benih jagung glory,benihjagungglory,25.00%,Nitralite,nitralite,PIHC,Nitrogen,NA,16,
benih ciliwung 5kg,benihciliwung5kg,25.00%,Nitralite,nitralite,PIHC,Nitrogen,NA,16,
PRIMA KUAT 20 L,primakuat20l,25.00%,Urea Petro,ureapetro,PIHC,Urea,NA,12,
dangke 250grm,dangke250grm,25.00%,ZA Petro,zapetro,PIHC,ZA,NA,12,
GRAMOXONE 20 L,gramoxone20l,25.00%,MerokeZA,merokeza,Mutiara,ZA,NA,12,
BABLAS 5 L,bablas5l,25.00%,Borat,borat,Mahkota,Mikro,NA,8,
dangke 100grm,dangke100grm,25.00%,ZA Petro,zapetro,PIHC,ZA,NA,12,
Bio ( 500 gr ),bio500gr,25.00%,Borat,borat,Mahkota,Mikro,NA,8,
V-Pro,vpro,25.00%,Vrea,vrea,Tawon,Urea,NA,4,
topsin k,topsink,25.00%,ZA Petro,zapetro,PIHC,ZA,NA,7,
topsin 500grm,topsin500grm,25.00%,Phosgro,phosgro,Pak Tani,Fosfat,NA,12,
Weedkill 1 ltr,weedkill1ltr,25.00%,Fertikali,fertikali,Pak Tani,Kalium,NA,12,
Interten 25 gr,interten25gr,25.00%,Fertiphos,fertiphos,Pak Tani,Fosfat,NA,12,
"Organik/Pupuk Pengembangan.     Phonska Plus, Nitralet, Ningrat, Nitrat, ZK,  Petrocas dll",organikpupukpengembanganphonskaplusnitraletningratnitratzkpetrocasdll,24.64%,Pelangi Jos 16-16-16 Coating Mikroba,pelangijos161616coatingmikroba,PIHC,Majemuk,16-16-16,69,
"Belini, ramada, convey, bionasa, thmposat, teng elektrik",beliniramadaconveybionasathmposattengelektrik,24.44%,Rock Phosphate PETRO,rockphosphatepetro,PIHC,Fosfat,NA,45,
"amnistar top 50 ml (azoksistrobin,difenokonazol)",amnistartop50mlazoksistrobindifenokonazol,24.39%,NITROPHOSKA PERFECT 15-5-20,nitrophoskaperfect15520,BASF,Majemuk,15-5-20,41,
Insektisida BESGRIMEX 36EC abamektrin TBM,insektisidabesgrimex36ecabamektrintbm,24.32%,NPK Pusri 13-6-27-4Mg+0.65B,npkpusri136274mg065b,PIHC,Majemuk,13-6-27,37,
"7ltr danaxone, 3ltr bionasa, 3btl rhodiamine",7ltrdanaxone3ltrbionasa3btlrhodiamine,24.32%,Mutiara PROFESSIONAL 9-25-25,mutiaraprofessional92525,Mutiara,Majemuk,9-25-25,37,
"10paratop, 6bh neocron, 10ltr tmphosat, 1belini, 5rhodiamine, 1danaxone, 2kg bibit jos",10paratop6bhneocron10ltrtmphosat1belini5rhodiamine1danaxone2kgbibitjos,24.29%,YaraVita TRI-PHOLATE 0-0-0-70Mn+50Zn+25Fe+20B+20Cu+1Mo,yaravitatripholate00070mn50zn25fe20b20cu1mo,Yara,Mikro,NA,70,
Insektisida TAMABAS Bpmc 400ml Kresna,insektisidatamabasbpmc400mlkresna,24.24%,Mahkota MOP (KCL Canada),mahkotamopkclcanada,Mahkota,Kalium,NA,33,
Cussons baby beautiful sunshien 100ml,cussonsbabybeautifulsunshien100ml,24.24%,Solution N 28-10-10 + TE,solutionn281010te,PIHC,Majemuk,28-10-10,33,
Binih kacang Kanton tavi kaleng 500g PM,binihkacangkantontavikaleng500gpm,24.24%,CPN PAK TANI 15-0-15,cpnpaktani15015,Pak Tani,Majemuk,15-0-15,33,
Kyojin (Pakan Ayam Raksasa) - 950 gram,kyojinpakanayamraksasa950gram,24.14%,NPK Kebomas 15-15-15,npkkebomas151515,PIHC,Majemuk,15-15-15,29,
Prevaton 100mL (klorantranilprol),prevaton100mlklorantranilprol,24.14%,Petro BioFertil,petrobiofertil,PIHC,Organik,NA,29,
Benih Jagung cap kapal Terbang 1 kg,benihjagungcapkapalterbang1kg,24.14%,Mutiara PARTNER 13-13-24,mutiarapartner131324,Mutiara,Majemuk,13-13-24,29,
raja ikan pemacu pertumbuhan ikan,rajaikanpemacupertumbuhanikan,24.14%,Kapur Pertanian Kebomas,kapurpertaniankebomas,PIHC,Mikro,NA,29,
PKT EXPLORE  250EC @ 200ml  +  ASTN @ 100ml,pktexplore250ec200mlastn100ml,24.14%,NPK Kebomas 15-15-15,npkkebomas151515,PIHC,Majemuk,15-15-15,29,
Fiber  2x6 + Clam Biasa (1Set) ALKA,fiber2x6clambiasa1setalka,24.00%,Fertiphos Sawit,fertiphossawit,Pak Tani,Fosfat,NA,25,
Fiber 2x4 + Clam Biasa (1set) ALKA,fiber2x4clambiasa1setalka,24.00%,Fertiphos Sawit,fertiphossawit,Pak Tani,Fosfat,NA,25,
Situbagendit banyuwangi 5Kg,situbagenditbanyuwangi5kg,24.00%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,25,
Insektisida Ammate 100ml Fmc,insektisidaammate100mlfmc,24.00%,NPK Kebomas 12-6-22+3Mg,npkkebomas126223mg,PIHC,Majemuk,12-6-22,25,
No lumut solvent clear glos 1L,nolumutsolventclearglos1l,24.00%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,25,
Johnsins Happy barries 100ml,johnsinshappybarries100ml,24.00%,Mutiara PARTNER 13-13-24,mutiarapartner131324,Mutiara,Majemuk,13-13-24,25,
Knapsack Electic Sprayer ( CBA),knapsackelecticsprayercba,24.00%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,25,
Benih Timun Baby Semi F1 20grm,benihtimunbabysemif120grm,24.00%,Petro Niphos 20-20+13S,petroniphos202013s,PIHC,Majemuk,20-20-0,25,
COUNCIL 300 SC complete   100 ml,council300sccomplete100ml,24.00%,Rock Phosphate PETRO,rockphosphatepetro,PIHC,Fosfat,NA,25,
"NPK 13-6-27-4+0,65B FUSION NS @50KG",npk136274065bfusionns50kg,24.00%,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8,25,
Fungisida Antracol 1000gram,fungisidaantracol1000gram,24.00%,Nitralite,nitralite,PIHC,Nitrogen,NA,25,
Clincher 200 ml $ Clipper 250 ml,clincher200mlclipper250ml,24.00%,YaraMila FASTER 25-7-7,yaramilafaster2577,Yara,Majemuk,25-7-7,25,
whiskas grilled saba flavour,whiskasgrilledsabaflavour,24.00%,HSP Astiva,hspastiva,Tawon,Fosfat,NA,25,
kran cabang stenles TEE sower,krancabangstenlesteesower,24.00%,Rock Phosphate PETRO,rockphosphatepetro,PIHC,Fosfat,NA,25,
regulator ULIR hitpro ampire,regulatorulirhitproampire,24.00%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,25,
roll box terminal reida (bagus),rollboxterminalreidabagus,24.00%,FERTIGRES  16-20+13S,fertigres162013s,PIHC,Majemuk,16-20-0,25,
roll box terminal morea (biasa),rollboxterminalmoreabiasa,24.00%,Kapur Pertanian Kebomas,kapurpertaniankebomas,PIHC,Mikro,NA,25,
fiting kombinasi hitam broco,fitingkombinasihitambroco,24.00%,Fertiphos Sawit,fertiphossawit,Pak Tani,Fosfat,NA,25,
Binih cabe rawit sigantung BA,binihcaberawitsigantungba,24.00%,Nitralite,nitralite,PIHC,Nitrogen,NA,25,
Fungisida seltima 500ml basf,fungisidaseltima500mlbasf,24.00%,Fertikali,fertikali,Pak Tani,Kalium,NA,25,
Mulsa Tunas Unggul Glundung K,mulsatunasunggulglundungk,24.00%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,25,
Mulsa Cahaya Lumba Besar 60cm,mulsacahayalumbabesar60cm,24.00%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,25,
Mulsa Cahaya Lumba Kecil 60cm,mulsacahayalumbakecil60cm,24.00%,Mutiara PARTNER 13-13-24,mutiarapartner131324,Mutiara,Majemuk,13-13-24,25,
PRIMAXONE ULTRA 300SL @ 4 x 5 Ltr,primaxoneultra300sl4x5ltr,24.00%,Nitralite,nitralite,PIHC,Nitrogen,NA,25,
Bibit jagong manis Bonanza F1,bibitjagongmanisbonanzaf1,24.00%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,25,
"Pupuk Cair SNN, Padi dan Jagung",pupukcairsnnpadidanjagung,24.00%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,25,
Benih kacang panjang parade tavi 500gr cap panah merah,benihkacangpanjangparadetavi500grcappanahmerah,23.91%,Kapur Pertanian Kebomas,kapurpertaniankebomas,PIHC,Mikro,NA,46,
sunggal 10kg banyuwangi,sunggal10kgbanyuwangi,23.81%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,21,
ciherang banyuwangi 5Kg,ciherangbanyuwangi5kg,23.81%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,21,
Diazenon 100mL (diazenon),diazenon100mldiazenon,23.81%,Ammonium Sulfate,ammoniumsulfate,Yara,ZA,NA,21,
Inpari 32 sang hyang seri,inpari32sanghyangseri,23.81%,Urea Pusri,ureapusri,PIHC,Urea,NA,21,
midict Gibb hormon super,midictgibbhormonsuper,23.81%,Fertiphos,fertiphos,Pak Tani,Fosfat,NA,21,
Bok mcb 2 lbg morita lampu,bokmcb2lbgmoritalampu,23.81%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,21,
Serimpi sachet - kangkung,serimpisachetkangkung,23.81%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,21,
NPK 20-10-10 BLD NS @50KG SBY,npk201010bldns50kgsby,23.81%,NPK Kebomas 15-15-15,npkkebomas151515,PIHC,Majemuk,15-15-15,21,
sp 36non sub bintang daun,sp36nonsubbintangdaun,23.81%,SP-36 Petro,sp36petro,PIHC,Fosfat,NA,21,
Beras Urang Karawang @5kg,berasurangkarawang5kg,23.81%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,21,
Saringan sedot non kelep,saringansedotnonkelep,23.81%,Urea Petro,ureapetro,PIHC,Urea,NA,21,
Sidamethrine 50 ec 100 ml,sidamethrine50ec100ml,23.81%,Petro BioFertil,petrobiofertil,PIHC,Organik,NA,21,
K Polos Putih Kuning 25kg,kpolosputihkuning25kg,23.81%,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8,21,
Inpari 32 Sanghyang Seri,inpari32sanghyangseri,23.81%,Urea Pusri,ureapusri,PIHC,Urea,NA,21,
semen dynamix merah @40kg,semendynamixmerah40kg,23.81%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,21,
Konfidor tepung (100 gram),konfidortepung100gram,23.81%,Nitroku 16-16-16,nitroku161616,PIHC,Majemuk,16-16-16,21,
"Saringan Pompa air 2"" Klep",saringanpompaair2klep,23.81%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,21,
KCL cair Super plus 500ml,kclcairsuperplus500ml,23.81%,Urea Pusri,ureapusri,PIHC,Urea,NA,21,
Benih Jagung Pertiwi 1 kg,benihjagungpertiwi1kg,23.81%,Petro BioFertil,petrobiofertil,PIHC,Organik,NA,21,
Bibit Kangkung Mahar 1kg,bibitkangkungmahar1kg,23.81%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,21,
Bibit Strawberry Infarm,bibitstrawberryinfarm,23.81%,Nitralite,nitralite,PIHC,Nitrogen,NA,21,
Gendongan samping okiyo,gendongansampingokiyo,23.81%,CANTIK CALCINIT,cantikcalcinit,BASF,Nitrogen,NA,21,
Bibit shinta cesim 100gr,bibitshintacesim100gr,23.81%,FERTIGRES  16-20+13S,fertigres162013s,PIHC,Majemuk,16-20-0,21,
terung mustang 400butir,terungmustang400butir,23.81%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,21,
Benih padi 99 super jombo,benihpadi99superjombo,23.81%,Nitralite,nitralite,PIHC,Nitrogen,NA,21,
Roundup Biosorb 486 SL @ 4 L,roundupbiosorb486sl4l,23.81%,Rock Phosphate PETRO,rockphosphatepetro,PIHC,Fosfat,NA,21,
Benih Padi Mapan Premium,benihpadimapanpremium,23.81%,Nitralite,nitralite,PIHC,Nitrogen,NA,21,
Benih jagung Pertiwi 1 kg,benihjagungpertiwi1kg,23.81%,Petro BioFertil,petrobiofertil,PIHC,Organik,NA,21,
TEMPAT MAKAN AYAM POTONG,tempatmakanayampotong,23.81%,Mahkota ZA,mahkotaza,Mahkota,ZA,NA,21,
Benih Padi - Gatut Kaca - 5 kg,benihpadigatutkaca5kg,23.81%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,21,
Benih Caisim Putri 25grm,benihcaisimputri25grm,23.81%,Urea Pusri,ureapusri,PIHC,Urea,NA,21,
kAYABAS 555SC  (1 Ltr/ 400 ML),kayabas555sc1ltr400ml,23.81%,Pak Tani 15-15-15+TE,paktani151515te,Pak Tani,Majemuk,15-15-15,21,
Stik sprayer manual solo,stiksprayermanualsolo,23.81%,Urea Pusri,ureapusri,PIHC,Urea,NA,21,
Benih Padi IR 64 Binus 5Kg,benihpadiir64binus5kg,23.81%,NPK Pusri 15-15-15,npkpusri151515,PIHC,Majemuk,15-15-15,21,
Impari 32 Premium /P Wangi,impari32premiumpwangi,23.81%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,21,
marshal 200 ec biru 500 ml,marshal200ecbiru500ml,23.81%,MerokeKKB 0-0-40-0.8B,merokekkb004008b,Mutiara,Kalium,NA,21,
Tomat Rampai garuda seed,tomatrampaigarudaseed,23.81%,Nitralite,nitralite,PIHC,Nitrogen,NA,21,
pisau rumput bulat tasco,pisaurumputbulattasco,23.81%,Urea Petro,ureapetro,PIHC,Urea,NA,21,
pisau rumput bulat biasa,pisaurumputbulatbiasa,23.81%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,21,
scrup 3x½ kecil biasa (-) pack,scrup3xkecilbiasapack,23.81%,MerokeROCK,merokerock,Mutiara,Fosfat,NA,21,
cat Suzuka Brom mas 200cc,catsuzukabrommas200cc,23.81%,Petro-CAS,petrocas,PIHC,Mikro,NA,21,
baud bajaringan 5cm (pack),baudbajaringan5cmpack,23.81%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,21,
baud bajaringan 7cm (pack),baudbajaringan7cmpack,23.81%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,21,
Binih jagung manis kecil,binihjagungmaniskecil,23.81%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,21,
angker mesin bor 10 kecil,angkermesinbor10kecil,23.81%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,21,
bibit kanton tavi kaleng,bibitkantontavikaleng,23.81%,Nitralite,nitralite,PIHC,Nitrogen,NA,21,
KNOC SONDAWA MERAH SUPER,knocsondawamerahsuper,23.81%,YaraVera,yaravera,Yara,Urea,NA,21,
inpari 32 sang hyang seri,inpari32sanghyangseri,23.81%,Urea Pusri,ureapusri,PIHC,Urea,NA,21,
Dji Sam Soe Super Premium,djisamsoesuperpremium,23.81%,Urea PIM,ureapim,PIHC,Urea,NA,21,
susu kucing growssy milk,susukucinggrowssymilk,23.81%,Fertiphos Sawit,fertiphossawit,Pak Tani,Fosfat,NA,21,
keramik 25x45 dinding KM,keramik25x45dindingkm,23.81%,Fertikali,fertikali,Pak Tani,Kalium,NA,21,
Kangkung Nyentrik 100 gr,kangkungnyentrik100gr,23.81%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,21,
benih semangka primasid,benihsemangkaprimasid,23.81%,Urea PIM,ureapim,PIHC,Urea,NA,21,
Sondawa Buah Maroke 25kg,sondawabuahmaroke25kg,23.81%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,21,
kno putih dgw kristal 2kg,knoputihdgwkristal2kg,23.81%,Nitralite,nitralite,PIHC,Nitrogen,NA,21,
kno putih dgw kristal 1kg,knoputihdgwkristal1kg,23.81%,Nitralite,nitralite,PIHC,Nitrogen,NA,21,
Ciherang Bandulbesi @5kg,ciherangbandulbesi5kg,23.81%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,21,
ban kingland 300/ 17 blkng,bankingland30017blkng,23.81%,NPK Kujang 30-6-8,npkkujang3068,PIHC,Majemuk,30-6-8,21,
ban kingland matic blkng,bankinglandmaticblkng,23.81%,NPK Pelangi 13-6-27-4,npkpelangi136274,PIHC,Majemuk,13-6-27,21,
kaus kaki black to school,kauskakiblacktoschool,23.81%,Mahkota Kieserite,mahkotakieserite,Mahkota,Mg,NA,21,
Benih Jagung Advanta @1kg,benihjagungadvanta1kg,23.81%,NPK Kujang 15-15-15,npkkujang151515,PIHC,Majemuk,15-15-15,21,
decis 100ml (deltametrin),decis100mldeltametrin,23.81%,Urea Petro,ureapetro,PIHC,Urea,NA,21,
marshal 200 ec biru 100ml,marshal200ecbiru100ml,23.81%,MerokeKKB 0-0-40-0.8B,merokekkb004008b,Mutiara,Kalium,NA,21,
kno3 kalsium crystal 1kg,kno3kalsiumcrystal1kg,23.81%,Nitralite,nitralite,PIHC,Nitrogen,NA,21,
benih jagung pertiwi 1kg,benihjagungpertiwi1kg,23.81%,Petro BioFertil,petrobiofertil,PIHC,Organik,NA,21,
benih jagung andalan 1kg,benihjagungandalan1kg,23.81%,NPK Kujang 15-15-15,npkkujang151515,PIHC,Majemuk,15-15-15,21,
Pupuk KN03 Putih PN PRILL,pupukkn03putihpnprill,23.81%,Urea Pusri,ureapusri,PIHC,Urea,NA,21,
Jaring Ayam 1.20 M Jangkar,jaringayam120mjangkar,23.81%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,21,
SPHINX 100ml (dimetomorf),sphinx100mldimetomorf,23.81%,SP-36 Petro,sp36petro,PIHC,Fosfat,NA,21,
Bibit Kangkung Kelud 1Kg,bibitkangkungkelud1kg,23.81%,Nitroku 16-16-16,nitroku161616,PIHC,Majemuk,16-16-16,21,
BENIH PADI CAP BANGO VARIETAS INPARI DIGDAYA,benihpadicapbangovarietasinparidigdaya,23.68%,Mutiara PARTNER 13-13-24,mutiarapartner131324,Mutiara,Majemuk,13-13-24,38,
Daun Buah Granul 2kg,daunbuahgranul2kg,23.53%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,17,
regen cair tanggung,regencairtanggung,23.53%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,17,
sepeda anak anak rtx,sepedaanakanakrtx,23.53%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,17,
"Cruiser 350FS 12,5 ml",cruiser350fs125ml,23.53%,ULTRADAP 12-60-0,ultradap12600,Pak Tani,Majemuk,12-60-0,17,
KNO3 Putih Tawon 2 kg,kno3putihtawon2kg,23.53%,Mutiara 16-16-16,mutiara161616,Mutiara,Majemuk,16-16-16,17,
Qiuvita Hijau 500 gr,qiuvitahijau500gr,23.53%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,17,
fillado 440 Ec 500 ml,fillado440ec500ml,23.53%,Pelangi 20-10-18,pelangi201018,PIHC,Majemuk,20-10-18,17,
Kangkung Penang 1 Kg,kangkungpenang1kg,23.53%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,17,
Oyong Anggun Tavi F1,oyongangguntavif1,23.53%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,17,
MINYAK GORENG. BOTOL,minyakgorengbotol,23.53%,Petro BioFertil,petrobiofertil,PIHC,Organik,NA,17,
BENIH JAGUNG EXOTIX,benihjagungexotix,23.53%,Nitralite,nitralite,PIHC,Nitrogen,NA,17,
Demolish 18ec 100ml,demolish18ec100ml,23.53%,Petro BioFertil,petrobiofertil,PIHC,Organik,NA,17,
BION M syngenta 500g,bionmsyngenta500g,23.53%,Phosgreen,phosgreen,PIHC,Fosfat,NA,17,
Saikuu tepung bumbu,saikuutepungbumbu,23.53%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,17,
susu bendera kaleng,susubenderakaleng,23.53%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,17,
balsem geliga kecil,balsemgeligakecil,23.53%,Petro BioFertil,petrobiofertil,PIHC,Organik,NA,17,
Gagang solo bengkok,gagangsolobengkok,23.53%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,17,
sandal swalaw jumbo,sandalswalawjumbo,23.53%,CANTIK CALCINIT,cantikcalcinit,BASF,Nitrogen,NA,17,
kangkung Bungkusan,kangkungbungkusan,23.53%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,17,
Benih blewah besmor,benihblewahbesmor,23.53%,Urea Petro,ureapetro,PIHC,Urea,NA,17,
Inpari 32 Bunga Padi,inpari32bungapadi,23.53%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,17,
Inpari 16 Bunga Padi,inpari16bungapadi,23.53%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,17,
ACROBAT 10gram 50wp,acrobat10gram50wp,23.53%,MerokeTSP,meroketsp,Mutiara,Fosfat,NA,17,
tali rapiya cap lkan,talirapiyacaplkan,23.53%,ZA Pak Tani,zapaktani,Pak Tani,ZA,NA,17,
pormula+ sikat jumbo,pormulasikatjumbo,23.53%,Urea Petro,ureapetro,PIHC,Urea,NA,17,
Indamin 865sl 250ml,indamin865sl250ml,23.53%,NPK PIM 15-15-15,npkpim151515,PIHC,Majemuk,15-15-15,17,
Kayabas 555 SC 500 mL,kayabas555sc500ml,23.53%,Mahkota 15-15-15,mahkota151515,Mahkota,Majemuk,15-15-15,17,
Sidabin 350 SC 250 mL,sidabin350sc250ml,23.53%,ENTEC 13-10-20,entec131020,BASF,Majemuk,13-10-20,17,
Sidabin 350 SC 250 mL,sidabin350sc250ml,23.53%,ENTEC 13-10-20,entec131020,BASF,Majemuk,13-10-20,17,
Mipcinta 50wp 100gr,mipcinta50wp100gr,23.53%,Pelangi 20-10-18,pelangi201018,PIHC,Majemuk,20-10-18,17,
Bibit Kobak 100gram,bibitkobak100gram,23.53%,Nitroku 16-16-16,nitroku161616,PIHC,Majemuk,16-16-16,17,
IR 64 banyuwangi 5kg,ir64banyuwangi5kg,23.53%,Urea Daun Buah,ureadaunbuah,PIHC,Urea,NA,17,
Inpari -43 premium B-9,inpari43premiumb9,23.53%,Urea PIM,ureapim,PIHC,Urea,NA,17,
SIDAMETRHRIN 400ml,sidametrhrin400ml,23.53%,Urea Petro,ureapetro,PIHC,Urea,NA,17,
tali rapiah lonceng,talirapiahlonceng,23.53%,Nitralite,nitralite,PIHC,Nitrogen,NA,17,
Topsin blue WP 500gr,topsinbluewp500gr,23.53%,ZA Plus Petro,zapluspetro,PIHC,ZA,NA,17,
grasso 480sl 1 liter,grasso480sl1liter,23.53%,Nitralite,nitralite,PIHC,Nitrogen,NA,17,
"Tang kombinasi 8""cml",tangkombinasi8cml,23.53%,Petro BioFertil,petrobiofertil,PIHC,Organik,NA,17,
Corong talang kotak,corongtalangkotak,23.53%,Urea Nitrea,ureanitrea,PIHC,Urea,NA,17,
Pintu PVC slot polos,pintupvcslotpolos,23.53%,Nitralite,nitralite,PIHC,Nitrogen,NA,17,
Kloset lolo jongkok,klosetlolojongkok,23.53%,MerokeROCK,merokerock,Mutiara,Fosfat,NA,17,
